project__name,tw_size,tw_quantity,tw_with_pc_percentage,tw_improves_cr_quantity,tw_equal_cr_quantity,tw_improves_ipe_quantity,tw_equal_ipe_quantity,tw_worsen_ipe_quantity,cr_improvement_percentage_min,cr_improvement_percentage_mean,cr_improvement_percentage_std,cr_improvement_percentage_max,ipe_improvement_percentage_min,ipe_improvement_percentage_mean,ipe_improvement_percentage_std,ipe_improvement_percentage_max
calendar,28,91,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
calendar,60,43,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
calendar,90,29,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sharetribe,7,331,2.42,2,6,7,1,0,0.00,62.50,140.79,400.00,0.00,129.62,238.12,700.00
sharetribe,14,166,4.82,2,6,7,1,0,0.00,62.50,140.79,400.00,0.00,240.45,543.63,1566.67
sharetribe,28,83,8.43,2,5,6,1,0,0.00,85.71,157.36,400.00,0.00,417.80,760.59,2100.00
sharetribe,60,39,15.38,3,3,6,0,0,0.00,166.67,186.19,400.00,13.91,119.12,118.75,293.33
sharetribe,90,26,19.23,2,3,5,0,0,0.00,220.00,349.28,800.00,37.59,180.78,182.19,493.33
candlepin,7,364,2.47,2,7,8,1,0,0.00,33.33,70.71,200.00,0.00,98.72,117.64,300.00
candlepin,14,182,5.49,3,7,10,0,0,0.00,40.00,69.92,200.00,6.06,57.65,51.88,140.00
candlepin,28,91,9.89,4,5,9,0,0,0.00,66.67,86.60,200.00,3.10,110.45,146.01,416.67
candlepin,60,43,18.60,2,6,7,1,0,0.00,100.00,213.81,600.00,0.00,121.70,181.36,520.00
candlepin,90,29,20.69,3,3,6,0,0,0.00,183.33,240.14,600.00,27.78,259.61,316.05,880.00
travis-web,7,349,1.15,1,3,4,0,0,0.00,50.00,100.00,200.00,60.00,190.44,190.72,466.67
travis-web,14,175,2.86,1,4,4,1,0,0.00,60.00,134.16,300.00,0.00,70.79,59.25,138.10
travis-web,28,88,6.82,1,5,6,0,0,0.00,50.00,122.47,300.00,16.67,82.27,58.27,169.23
travis-web,60,41,9.76,2,2,4,0,0,0.00,100.00,141.42,300.00,30.26,135.12,121.04,273.33
travis-web,90,28,21.43,1,5,6,0,0,0.00,50.00,122.47,300.00,1.77,167.62,202.54,495.24
cartodb,7,292,41.78,96,26,111,5,6,0.00,221.08,227.72,1300.00,-30.77,80.39,128.18,900.00
cartodb,14,146,51.37,68,7,71,1,3,0.00,355.33,300.56,2000.00,-4.10,67.89,69.52,414.29
cartodb,28,73,57.53,39,3,40,1,1,0.00,606.31,443.45,2450.00,-4.26,64.81,51.10,202.45
cartodb,60,34,64.71,21,1,22,0,0,0.00,935.00,566.67,2175.00,10.53,51.51,34.58,166.97
cartodb,90,23,69.57,15,1,16,0,0,0.00,1175.42,727.42,2600.00,21.93,72.01,39.93,157.86
DataFrames.jl,7,90,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DataFrames.jl,14,45,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DataFrames.jl,28,23,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DataFrames.jl,60,11,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DataFrames.jl,90,7,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Halide,7,348,6.32,15,7,20,1,1,0.00,131.82,148.44,500.00,-1.17,103.75,151.15,650.00
Halide,14,174,11.49,14,6,19,0,1,0.00,212.50,267.48,900.00,-8.00,145.78,216.46,950.00
Halide,28,87,19.54,14,3,17,0,0,0.00,267.65,283.36,1000.00,4.55,133.82,194.30,709.52
Halide,60,41,21.95,9,0,9,0,0,100.00,416.67,283.95,900.00,19.46,85.07,87.50,295.60
Halide,90,28,21.43,6,0,6,0,0,200.00,633.33,297.77,1000.00,12.93,43.27,27.24,79.76
Firmware,7,350,3.71,1,12,5,8,0,0.00,38.46,138.68,500.00,0.00,73.87,153.00,500.00
Firmware,14,175,6.86,4,8,8,3,1,0.00,83.33,174.95,600.00,-1.37,75.32,95.70,300.00
Firmware,28,88,12.50,5,6,10,1,0,0.00,127.27,190.22,600.00,0.00,81.09,70.56,245.00
Firmware,60,41,19.51,6,2,8,0,0,0.00,150.00,122.47,300.00,54.55,137.12,90.21,293.10
Firmware,90,28,21.43,5,1,6,0,0,0.00,200.00,154.92,400.00,20.29,87.56,68.24,200.00
seccubus,7,122,2.46,1,2,2,1,0,0.00,16.67,28.87,50.00,0.00,136.67,228.11,400.00
seccubus,14,61,4.92,1,2,2,1,0,0.00,16.67,28.87,50.00,0.00,18.15,23.31,44.44
seccubus,28,31,12.90,1,3,1,3,0,0.00,12.50,25.00,50.00,0.00,16.67,33.34,66.67
seccubus,60,15,20.00,1,2,3,0,0,0.00,66.67,115.47,200.00,63.64,572.73,646.41,1300.00
seccubus,90,10,30.00,1,2,3,0,0,0.00,100.00,173.21,300.00,102.63,803.65,1209.28,2200.00
app,7,348,46.55,133,29,150,6,6,0.00,302.72,275.80,1300.00,-25.00,83.38,160.99,1800.00
app,14,174,55.75,89,8,97,0,0,0.00,545.07,412.56,2000.00,5.79,115.51,298.30,2550.00
app,28,87,60.92,51,2,51,0,2,0.00,957.55,642.26,3800.00,-19.24,77.99,66.72,246.10
app,60,41,68.29,28,0,28,0,0,100.00,1562.32,985.69,4100.00,14.80,86.13,54.88,193.85
app,90,28,71.43,19,1,19,1,0,0.00,1919.58,1149.68,4200.00,0.00,75.23,49.34,186.12
core,7,353,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
core,14,177,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
core,28,89,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
core,60,42,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
core,90,28,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
core,7,1059,8.22,81,6,75,3,9,0.00,331.26,223.06,850.00,-38.32,87.29,113.20,459.17
core,7,706,8.22,54,4,50,2,6,0.00,331.26,223.71,850.00,-38.32,87.29,113.53,459.17
core,7,706,8.22,54,4,50,2,6,0.00,331.26,223.71,850.00,-38.32,87.29,113.53,459.17
core,14,531,11.30,57,3,51,3,6,0.00,487.00,338.97,1200.00,-7.27,75.46,105.89,419.70
core,14,354,11.30,38,2,34,2,4,0.00,487.00,340.42,1200.00,-7.27,75.46,106.35,419.70
core,14,354,11.30,38,2,34,2,4,0.00,487.00,340.42,1200.00,-7.27,75.46,106.35,419.70
core,28,267,13.48,36,0,36,0,0,300.00,663.61,179.63,933.33,9.93,90.72,64.21,212.61
core,28,178,13.48,24,0,24,0,0,300.00,663.61,180.93,933.33,9.93,90.72,64.67,212.61
core,28,178,13.48,24,0,24,0,0,300.00,663.61,180.93,933.33,9.93,90.72,64.67,212.61
core,60,126,16.67,21,0,21,0,0,200.00,1083.33,547.34,1733.33,5.74,60.25,48.53,162.26
core,60,84,16.67,14,0,14,0,0,200.00,1083.33,554.31,1733.33,5.74,60.25,49.14,162.26
core,60,84,16.67,14,0,14,0,0,200.00,1083.33,554.31,1733.33,5.74,60.25,49.14,162.26
core,90,84,17.86,15,0,15,0,0,433.33,1400.00,528.50,1866.67,15.19,69.33,43.48,144.70
core,90,56,17.86,10,0,10,0,0,433.33,1400.00,538.20,1866.67,15.19,69.33,44.28,144.70
core,90,56,17.86,10,0,10,0,0,433.33,1400.00,538.20,1866.67,15.19,69.33,44.28,144.70
sonar-java,7,328,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sonar-java,14,164,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sonar-java,28,82,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sonar-java,60,39,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sonar-java,90,26,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rep,7,349,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rep,14,175,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rep,28,88,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rep,60,41,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rep,90,28,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sync_gateway,7,302,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sync_gateway,14,151,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sync_gateway,28,76,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sync_gateway,60,36,2.78,0,1,1,0,0,0.00,0.00,0.00,0.00,26.32,26.32,0.00,26.32
sync_gateway,90,24,4.17,0,1,1,0,0,0.00,0.00,0.00,0.00,68.42,68.42,0.00,68.42
webofneeds,7,218,11.01,9,15,20,3,1,0.00,87.50,151.26,500.00,-6.91,168.90,222.00,950.00
webofneeds,14,109,22.02,10,14,23,1,0,0.00,91.67,181.58,800.00,0.00,167.72,213.96,940.00
webofneeds,28,55,41.82,9,14,22,1,0,0.00,91.30,185.04,800.00,0.00,155.88,244.95,1100.00
webofneeds,60,26,53.85,10,4,14,0,0,0.00,196.43,254.55,950.00,17.24,92.85,64.00,250.00
webofneeds,90,17,70.59,8,4,11,1,0,0.00,241.67,305.88,1100.00,0.00,95.92,91.04,277.67
selenium-tests,7,319,8.15,8,18,21,5,0,0.00,44.23,89.81,400.00,0.00,75.04,70.22,250.00
selenium-tests,14,160,17.50,11,17,24,3,1,0.00,55.36,91.63,400.00,-14.29,86.86,107.08,400.00
selenium-tests,28,80,30.00,13,11,22,1,1,0.00,72.92,97.78,400.00,-11.11,181.56,225.33,800.00
selenium-tests,60,38,44.74,12,5,16,0,1,0.00,141.18,116.24,400.00,-25.55,136.04,174.96,725.00
selenium-tests,90,25,48.00,11,1,12,0,0,0.00,220.83,138.92,500.00,11.66,57.77,26.07,115.22
framework,7,131,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
framework,14,66,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
framework,28,33,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
framework,60,16,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
framework,90,11,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
seahub,7,332,0.90,1,2,2,0,1,0.00,33.33,57.74,100.00,-8.65,252.67,313.31,600.00
seahub,14,166,1.81,1,2,2,0,1,0.00,33.33,57.74,100.00,-8.65,103.46,121.96,233.33
seahub,28,83,4.82,1,3,3,0,1,0.00,25.00,50.00,100.00,-7.69,39.66,40.31,78.95
seahub,60,39,10.26,1,3,3,0,1,0.00,25.00,50.00,100.00,-6.92,57.02,109.80,221.43
seahub,90,26,15.38,1,3,3,0,1,0.00,25.00,50.00,100.00,-5.33,165.67,158.25,328.57
CloudCompare,7,130,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CloudCompare,14,65,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CloudCompare,28,33,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CloudCompare,60,16,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CloudCompare,90,11,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
wordpress-seo,7,13,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
wordpress-seo,14,6,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
wordpress-seo,28,3,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
wordpress-seo,60,1,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
wordpress-seo,90,1,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
openproject,7,340,7.65,12,14,25,1,0,0.00,65.38,88.06,300.00,0.00,143.58,287.01,1300.00
openproject,14,170,12.94,10,12,22,0,0,0.00,94.09,129.49,400.00,3.33,501.77,1257.26,4700.00
openproject,28,85,18.82,10,6,16,0,0,0.00,118.96,114.00,300.00,7.02,1331.46,3387.23,12500.00
openproject,60,40,30.00,8,4,12,0,0,0.00,175.28,195.25,600.00,7.72,205.80,237.77,841.18
openproject,90,27,33.33,6,3,9,0,0,0.00,277.78,349.21,900.00,1.02,1006.01,2765.73,8380.00
encoded,7,321,6.23,10,10,15,4,1,0.00,117.50,140.75,400.00,-8.16,40.29,53.51,225.00
encoded,14,161,11.80,9,10,15,3,1,0.00,144.74,187.75,600.00,-7.69,111.41,166.71,607.69
encoded,28,81,18.52,9,6,12,2,1,0.00,240.00,287.35,900.00,-5.26,132.46,206.04,775.00
encoded,60,38,26.32,9,1,9,0,1,0.00,405.00,291.02,900.00,-0.47,183.60,205.15,700.00
encoded,90,25,32.00,6,2,8,0,0,0.00,462.50,420.67,1200.00,64.44,144.89,75.37,281.25
mule,7,326,0.31,1,0,1,0,0,50.00,50.00,0.00,50.00,136.17,136.17,0.00,136.17
mule,14,163,0.61,1,0,1,0,0,50.00,50.00,0.00,50.00,46.38,46.38,0.00,46.38
mule,28,82,1.22,1,0,1,0,0,50.00,50.00,0.00,50.00,25.60,25.60,0.00,25.60
mule,60,38,2.63,1,0,1,0,0,50.00,50.00,0.00,50.00,482.29,482.29,0.00,482.29
mule,90,26,3.85,1,0,1,0,0,50.00,50.00,0.00,50.00,40.45,40.45,0.00,40.45
gatein-portal,7,247,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gatein-portal,14,124,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gatein-portal,28,62,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gatein-portal,60,29,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gatein-portal,90,20,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emby,7,203,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emby,14,102,0.98,0,1,1,0,0,0.00,0.00,0.00,0.00,9.09,9.09,0.00,9.09
Emby,28,51,1.96,0,1,1,0,0,0.00,0.00,0.00,0.00,100.00,100.00,0.00,100.00
Emby,60,24,4.17,0,1,1,0,0,0.00,0.00,0.00,0.00,19.00,19.00,0.00,19.00
Emby,90,16,6.25,0,1,1,0,0,0.00,0.00,0.00,0.00,12.84,12.84,0.00,12.84
treeherder,7,213,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
treeherder,14,107,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
treeherder,28,54,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
treeherder,60,25,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
treeherder,90,17,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ORCID-Source,7,327,28.13,54,38,84,6,2,0.00,166.30,225.25,1200.00,-24.14,97.61,149.30,1000.00
ORCID-Source,14,164,42.07,46,23,63,6,0,0.00,221.62,267.92,1200.00,0.00,139.28,196.14,1150.00
ORCID-Source,28,82,59.76,38,11,48,1,0,0.00,293.71,284.47,1250.00,0.00,122.23,119.79,670.00
ORCID-Source,60,39,66.67,22,4,26,0,0,0.00,509.30,435.09,1900.00,8.39,127.54,318.40,1670.00
ORCID-Source,90,26,69.23,17,1,18,0,0,0.00,720.93,495.50,1700.00,18.66,103.71,78.81,349.21
objective-c,7,313,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
objective-c,14,157,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
objective-c,28,79,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
objective-c,60,37,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
objective-c,90,25,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
spliceengine,7,150,7.33,7,4,9,1,1,0.00,100.00,89.44,200.00,-7.69,163.19,290.34,1000.00
spliceengine,14,75,14.67,7,4,10,0,1,0.00,181.82,218.26,700.00,-22.35,62.53,87.58,240.74
spliceengine,28,38,26.32,7,3,10,0,0,0.00,230.00,309.30,1000.00,10.96,105.51,102.90,329.63
spliceengine,60,18,33.33,6,0,6,0,0,100.00,400.00,544.06,1500.00,30.62,65.99,29.32,111.71
spliceengine,90,12,50.00,4,2,6,0,0,0.00,466.67,588.78,1400.00,0.62,78.90,63.55,161.76
freenas,7,321,5.92,11,8,18,1,0,0.00,150.00,244.38,900.00,0.00,169.81,378.76,1650.00
freenas,14,161,9.94,9,7,15,1,0,0.00,185.42,303.06,1100.00,0.00,258.96,478.64,1950.00
freenas,28,81,16.05,8,5,13,0,0,0.00,251.28,424.62,1500.00,1.65,71.16,64.44,244.44
freenas,60,38,26.32,7,3,10,0,0,0.00,267.50,313.59,900.00,4.84,112.85,157.76,500.00
freenas,90,25,36.00,6,3,8,1,0,0.00,263.89,373.98,1075.00,0.00,181.72,228.08,618.41
mapbox-gl-js,7,252,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
mapbox-gl-js,14,126,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
mapbox-gl-js,28,63,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
mapbox-gl-js,60,30,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
mapbox-gl-js,90,20,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
node-sonos-http-api,7,279,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
node-sonos-http-api,14,140,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
node-sonos-http-api,28,70,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
node-sonos-http-api,60,33,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
node-sonos-http-api,90,22,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WordPress-iOS,7,314,40.76,101,27,118,6,4,0.00,252.32,216.05,1200.00,-20.25,114.28,216.76,1500.00
WordPress-iOS,14,157,47.77,70,5,73,1,1,0.00,414.31,253.73,1100.00,-4.59,77.33,74.85,520.00
WordPress-iOS,28,79,54.43,42,1,43,0,0,0.00,653.41,410.23,1900.00,12.79,81.68,76.47,355.70
WordPress-iOS,60,37,59.46,21,1,22,0,0,0.00,1105.30,541.69,2000.00,20.18,99.50,107.39,540.00
WordPress-iOS,90,25,60.00,15,0,15,0,0,566.67,1471.22,610.38,2775.00,28.17,87.31,48.20,213.94
write-it,7,322,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
write-it,14,161,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
write-it,28,81,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
write-it,60,38,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
write-it,90,26,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
centreon,7,200,1.00,1,1,1,1,0,0.00,350.00,494.97,700.00,0.00,23.43,33.13,46.85
centreon,14,100,2.00,1,1,2,0,0,0.00,450.00,636.40,900.00,58.66,116.83,82.26,175.00
centreon,28,50,6.00,1,2,2,1,0,0.00,300.00,519.62,900.00,0.00,116.04,161.12,300.00
centreon,60,24,12.50,2,1,2,1,0,0.00,366.67,550.76,1000.00,0.00,18.96,19.36,38.70
centreon,90,16,18.75,2,1,2,1,0,0.00,366.67,550.76,1000.00,0.00,30.05,37.43,71.98
warehouse,7,319,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
warehouse,14,160,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
warehouse,28,80,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
warehouse,60,38,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
warehouse,90,25,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
crate,7,274,0.36,0,1,1,0,0,0.00,0.00,0.00,0.00,106.25,106.25,0.00,106.25
crate,14,137,0.73,0,1,1,0,0,0.00,0.00,0.00,0.00,218.75,218.75,0.00,218.75
crate,28,69,1.45,0,1,1,0,0,0.00,0.00,0.00,0.00,543.75,543.75,0.00,543.75
crate,60,32,3.13,0,1,1,0,0,0.00,0.00,0.00,0.00,94.07,94.07,0.00,94.07
crate,90,22,4.55,0,1,1,0,0,0.00,0.00,0.00,0.00,81.02,81.02,0.00,81.02
opennms,7,319,6.27,4,16,15,5,0,0.00,40.00,99.47,400.00,0.00,87.52,129.45,500.00
opennms,14,160,12.50,9,11,15,4,1,0.00,70.00,103.11,400.00,-16.46,133.53,243.78,800.00
opennms,28,80,22.50,12,6,15,3,0,0.00,127.78,127.44,400.00,0.00,62.07,82.87,261.11
opennms,60,38,34.21,11,2,11,2,0,0.00,253.85,185.36,500.00,0.00,53.03,62.75,180.52
opennms,90,25,48.00,10,2,12,0,0,0.00,283.33,228.96,700.00,5.00,108.14,96.99,330.34
electron,7,165,6.06,6,4,10,0,0,0.00,80.00,78.88,200.00,5.87,114.81,93.48,275.00
electron,14,83,10.84,7,2,9,0,0,0.00,88.89,60.09,200.00,10.89,130.73,145.13,458.33
electron,28,42,19.05,6,2,8,0,0,0.00,100.00,75.59,200.00,4.21,91.83,147.26,450.00
electron,60,20,30.00,4,2,6,0,0,0.00,133.33,150.55,400.00,20.20,321.71,628.02,1600.00
electron,90,13,53.85,5,2,7,0,0,0.00,104.76,89.09,233.33,16.67,456.19,755.62,2116.67
configuration,7,319,2.19,0,7,4,3,0,0.00,0.00,0.00,0.00,0.00,34.67,38.04,100.00
configuration,14,160,4.38,2,5,5,2,0,0.00,42.86,78.68,200.00,0.00,73.35,74.81,158.49
configuration,28,80,7.50,4,2,6,0,0,0.00,75.00,75.83,200.00,48.72,94.39,52.16,169.23
configuration,60,38,15.79,4,2,6,0,0,0.00,75.00,75.83,200.00,28.66,258.14,273.80,697.94
configuration,90,25,20.00,4,1,5,0,0,0.00,130.00,120.42,300.00,59.57,393.53,415.98,925.26
empirical-core,7,249,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
empirical-core,14,125,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
empirical-core,28,63,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
empirical-core,60,29,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
empirical-core,90,20,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
opengever.core,7,306,0.33,0,1,1,0,0,0.00,0.00,0.00,0.00,33.33,33.33,0.00,33.33
opengever.core,14,153,0.65,0,1,1,0,0,0.00,0.00,0.00,0.00,133.33,133.33,0.00,133.33
opengever.core,28,77,3.90,0,3,3,0,0,0.00,0.00,0.00,0.00,25.00,195.68,151.76,315.38
opengever.core,60,36,5.56,0,2,2,0,0,0.00,0.00,0.00,0.00,82.46,207.90,177.39,333.33
opengever.core,90,24,8.33,0,2,2,0,0,0.00,0.00,0.00,0.00,104.17,859.78,1068.59,1615.38
weio,7,236,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
weio,14,118,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
weio,28,59,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
weio,60,28,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
weio,90,19,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zenoss-prodbin,7,307,2.28,2,5,6,1,0,0.00,57.14,97.59,200.00,0.00,210.39,262.49,700.00
zenoss-prodbin,14,154,4.55,2,5,6,1,0,0.00,57.14,97.59,200.00,0.00,71.60,51.78,150.00
zenoss-prodbin,28,77,9.09,2,5,7,0,0,0.00,57.14,97.59,200.00,22.58,165.96,200.38,600.00
zenoss-prodbin,60,36,16.67,1,5,6,0,0,0.00,83.33,204.12,500.00,18.06,396.23,744.63,1900.00
zenoss-prodbin,90,24,25.00,1,5,6,0,0,0.00,83.33,204.12,500.00,12.50,717.62,1312.34,3375.00
edx-platform,7,314,11.78,25,12,36,1,0,0.00,179.28,184.98,700.00,0.00,142.99,153.35,588.00
edx-platform,14,157,19.11,20,10,29,1,0,0.00,261.11,336.09,1500.00,0.00,132.57,267.61,1452.00
edx-platform,28,79,27.85,17,5,22,0,0,0.00,403.03,448.24,1500.00,7.16,280.53,691.59,3292.00
edx-platform,60,37,45.95,12,5,17,0,0,0.00,576.47,792.57,3100.00,3.07,242.25,474.14,2025.00
edx-platform,90,25,60.00,11,4,15,0,0,0.00,724.44,735.44,1900.00,2.10,181.68,181.07,638.33
mf-geoadmin3,7,313,0.64,1,1,2,0,0,0.00,50.00,70.71,100.00,6.25,8.84,3.66,11.43
mf-geoadmin3,14,157,1.27,2,0,2,0,0,100.00,250.00,212.13,400.00,37.25,60.77,33.26,84.29
mf-geoadmin3,28,79,2.53,2,0,2,0,0,100.00,250.00,212.13,400.00,15.08,16.37,1.82,17.66
mf-geoadmin3,60,37,5.41,2,0,2,0,0,100.00,250.00,212.13,400.00,120.12,148.36,39.94,176.60
mf-geoadmin3,90,25,8.00,2,0,2,0,0,100.00,250.00,212.13,400.00,17.85,29.90,17.03,41.94
mf-chsdi3,7,313,0.32,0,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
mf-chsdi3,14,157,0.64,0,1,1,0,0,0.00,0.00,0.00,0.00,111.11,111.11,0.00,111.11
mf-chsdi3,28,79,1.27,0,1,1,0,0,0.00,0.00,0.00,0.00,211.11,211.11,0.00,211.11
mf-chsdi3,60,37,2.70,0,1,1,0,0,0.00,0.00,0.00,0.00,61.70,61.70,0.00,61.70
